,,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,-additional
16,Cody Kessler*,USC,Pac-12,13,315,452,69.7,3826,8.5,9.7,39,5,167.1,55,-152,-2.8,2,cody-kessler-1
17,Brad Kaaya*,Miami (FL),ACC,13,221,378,58.5,3198,8.5,8.4,26,12,145.9,27,-131,-4.9,1,brad-kaaya-1
18,Jameis Winston*,Florida State,ACC,13,305,467,65.3,3907,8.4,7.7,25,18,145.5,57,65,1.1,3,jameis-winston-1
19,Bo Wallace*,Ole Miss,SEC,13,229,381,60.1,3194,8.4,7.9,22,14,142.2,121,199,1.6,5,bo-wallace-1
20,Gunner Kiel*,Cincinnati,American,13,233,390,59.7,3254,8.3,8.4,31,13,149.4,63,142,2.3,1,gunner-kiel-1
21,Cooper Rush*,Central Michigan,MAC,13,243,382,63.6,3149,8.2,8.1,27,13,149.4,46,-51,-1.1,0,cooper-rush-1
22,Everett Golson,Notre Dame,Ind,13,256,427,60.0,3445,8.1,8.0,29,14,143.6,114,283,2.5,8,everett-golson-1
23,Taylor Lamb,Appalachian State,Sun Belt,12,181,295,61.4,2381,8.1,7.9,17,9,142.1,78,483,6.2,4,taylor-lamb-1
24,Cody Clements,UAB,CUSA,11,183,276,66.3,2227,8.1,7.8,14,8,145.0,91,160,1.8,4,cody-clements-1
25,Brett Hundley*,UCLA,Pac-12,13,271,392,69.1,3155,8.0,8.6,22,5,152.7,159,644,4.1,10,brett-hundley-1
26,Trevone Boykin*,TCU,Big 12,13,301,492,61.2,3901,7.9,8.4,33,10,145.9,152,707,4.7,8,trevone-boykin-1
27,Dylan Thompson*,South Carolina,SEC,13,270,451,59.9,3564,7.9,8.0,26,11,140.4,67,-72,-1.1,4,dylan-thompson-1
28,Kevin Hogan*,Stanford,Pac-12,13,232,352,65.9,2792,7.9,8.0,19,8,145.8,91,295,3.2,5,kevin-hogan-2
29,Jared Goff,California,Pac-12,12,316,509,62.1,3973,7.8,8.6,35,7,147.6,55,-44,-0.8,0,jared-goff-1
30,Clint Trickett*,West Virginia,Big 12,11,281,419,67.1,3285,7.8,7.6,18,10,142.3,42,-106,-2.5,1,clint-trickett-1
31,Tommy Armstrong Jr,Nebraska,Big Ten,13,184,345,53.3,2695,7.8,7.5,22,12,133.0,145,705,4.9,6,tommy-armstrong-jr-1
32,Chad Voytik*,Pitt,ACC,13,176,287,61.3,2233,7.8,7.8,16,7,140.2,108,466,4.3,3,chad-voytik-1
33,Hutson Mason*,Georgia,SEC,13,188,277,67.9,2168,7.8,8.7,21,4,155.7,43,3,0.1,4,hutson-mason-1
34,Shane Carden*,East Carolina,American,13,392,617,63.5,4736,7.7,7.9,30,10,140.8,96,76,0.8,6,shane-carden-1
35,Cody Sokol*,Louisiana Tech,CUSA,14,260,448,58.0,3436,7.7,7.7,30,13,138.8,53,44,0.8,2,cody-sokol-1
36,Blake Frohnapfel,Massachusetts,MAC,10,241,436,55.3,3345,7.7,7.7,23,10,132.5,41,-85,-2.1,0,blake-frohnapfel-1
37,Nick Arbuckle,Georgia State,Sun Belt,12,259,429,60.4,3283,7.7,6.9,23,17,134.4,73,10,0.1,2,nick-arbuckle-1
38,Joe Licata,Buffalo,MAC,11,224,345,64.9,2647,7.7,7.9,29,11,150.7,34,-6,-0.2,2,joe-licata-1
39,Taylor Heinicke,Old Dominion,CUSA,12,289,457,63.2,3476,7.6,7.3,30,16,141.8,80,139,1.7,2,taylor-heinicke-1
40,Fredi Knighten*,Arkansas State,Sun Belt,13,269,432,62.3,3277,7.6,8.0,24,7,141.1,211,779,3.7,11,fredi-knighten-1
41,Austin Grammer,Middle Tennessee State,CUSA,12,221,338,65.4,2557,7.6,7.0,17,12,138.4,124,442,3.6,6,austin-grammer-1
42,Logan Woodside*,Toledo,MAC,12,185,296,62.5,2263,7.6,7.7,19,8,142.5,52,78,1.5,3,logan-woodside-1
43,Taylor Kelly*,Arizona State,Pac-12,10,165,278,59.4,2114,7.6,8.4,22,5,145.7,95,256,2.7,3,taylor-kelly-1
44,Greg Ward Jr.*,Houston,American,13,177,263,67.3,2010,7.6,7.4,12,7,141.2,118,573,4.9,6,greg-ward-jr-1
45,Mitch Leidner*,Minnesota,Big Ten,12,122,237,51.5,1798,7.6,7.0,11,8,123.8,126,452,3.6,10,mitch-leidner-1
46,Justin Holman*,UCF,American,13,223,392,56.9,2952,7.5,7.1,23,14,132.4,112,189,1.7,3,justin-holman-1
47,Connor Halliday,Washington State,Pac-12,9,354,526,67.3,3873,7.4,7.6,32,11,145.0,29,-131,-4.5,0,connor-halliday-1
48,Colby Kirkegaard,Wyoming,MWC,12,206,359,57.4,2660,7.4,6.9,12,9,125.6,78,-110,-1.4,0,colby-kirkegaard-1
49,Paxton Lynch*,Memphis,American,13,259,413,62.7,3031,7.3,7.4,22,9,137.6,113,321,2.8,13,paxton-lynch-1
50,Cyler Miles*,Washington,Pac-12,12,219,329,66.6,2397,7.3,7.8,17,4,142.4,118,307,2.6,4,cyler-miles-1
51,Trevor Knight*,Oklahoma,Big 12,10,179,316,56.6,2300,7.3,6.5,14,12,124.8,68,339,5.0,5,trevor-knight-1
52,Andrew Hendrix,Miami (OH),MAC,12,222,458,48.5,3280,7.2,7.3,23,9,121.3,157,324,2.1,6,andrew-hendrix-1
53,Marquise Williams*,North Carolina,ACC,13,270,428,63.1,3068,7.2,7.2,21,9,135.3,193,788,4.1,13,marquise-williams-1
54,Blake Decker,UNLV,MWC,13,231,401,57.6,2881,7.2,5.9,15,18,121.3,147,366,2.5,5,blake-decker-1
55,Tyler Jones,Texas State,Sun Belt,12,246,376,65.4,2670,7.1,7.4,22,7,140.7,166,539,3.2,6,tyler-jones-4
56,Jake Rudock*,Iowa,Big Ten,12,213,345,61.7,2436,7.1,7.3,16,5,133.5,67,176,2.6,3,jake-rudock-1
57,Drew Hare*,Northern Illinois,MAC,14,194,326,59.5,2322,7.1,8.0,18,2,136.3,159,900,5.7,8,drew-hare-1
58,Tyler Murphy*,Boston College,ACC,13,131,230,57.0,1623,7.1,6.2,13,10,126.2,180,1179,6.6,11,tyler-murphy-1
59,Anthony Jennings*,LSU,SEC,13,111,227,48.9,1611,7.1,6.7,11,7,118.3,108,292,2.7,0,anthony-jennings-1
60,Anu Solomon*,Arizona,Pac-12,14,313,540,58.0,3793,7.0,7.3,28,9,130.7,137,291,2.1,2,anu-solomon-1
61,Sean Mannion,Oregon State,Pac-12,12,282,453,62.3,3164,7.0,6.9,15,8,128.3,48,-306,-6.4,1,sean-mannion-1
62,Jacoby Brissett*,North Carolina State,ACC,13,221,370,59.7,2606,7.0,7.7,23,5,136.7,124,529,4.3,3,jacoby-brissett-2
63,Joe Gray,San Jose State,MWC,11,210,330,63.6,2305,7.0,6.4,11,9,127.9,58,99,1.7,3,joe-gray-1
64,Jaquez Johnson,Florida Atlantic,CUSA,11,182,315,57.8,2215,7.0,7.4,17,5,131.5,120,513,4.3,7,jaquez-johnson-1
65,Quinn Kaehler*,San Diego State,MWC,13,169,307,55.0,2157,7.0,5.9,9,12,115.9,26,-105,-4.0,0,quinn-kaehler-1
66,Michael Cummings,Kansas,Big 12,12,137,244,56.1,1715,7.0,6.7,9,6,122.4,67,23,0.3,4,michael-cummings-1
67,Reggie Bell,Eastern Michigan,MAC,10,105,184,57.1,1297,7.0,6.6,9,6,125.9,133,562,4.2,4,reggie-bell-1
68,Patrick Towles,Kentucky,SEC,12,225,393,57.3,2718,6.9,6.6,14,9,122.5,145,303,2.1,6,patrick-towles-1
69,Travis Wilson*,Utah,Pac-12,13,190,313,60.7,2170,6.9,7.4,18,5,134.7,114,309,2.7,5,travis-wilson-4
70,Nick Mullens,Southern Mississippi,CUSA,10,218,365,59.7,2470,6.8,6.3,12,9,122.5,49,39,0.8,0,nick-mullens-1
71,Brandon Silvers,Troy,Sun Belt,11,191,271,70.5,1832,6.8,7.1,11,3,138.4,100,196,2.0,5,brandon-silvers-2
72,Mike White,South Florida,American,11,122,242,50.4,1639,6.8,6.1,8,7,112.4,29,-85,-2.9,0,mike-white-6
73,Chandler Whitmer,Connecticut,American,12,124,224,55.4,1522,6.8,6.2,11,8,121.5,75,69,0.9,2,chandler-whitmer-1
74,Dane Evans,Tulsa,American,12,256,462,55.4,3102,6.7,6.1,23,17,120.9,77,58,0.8,3,dane-evans-1
75,Matt Linehan,Idaho,Sun Belt,11,221,379,58.3,2540,6.7,5.1,11,18,114.7,86,-66,-0.8,1,matt-linehan-1
76,Terrance Broadway*,Louisiana,Sun Belt,13,216,342,63.2,2295,6.7,6.3,13,9,126.8,146,653,4.5,3,terrance-broadway-1
77,Brandon Allen*,Arkansas,SEC,13,190,339,56.0,2285,6.7,7.3,20,5,129.2,42,0,0.0,2,brandon-allen-2
78,Devin Gardner,Michigan,Big Ten,12,174,283,61.5,1896,6.7,5.0,10,15,118.8,98,258,2.6,4,devin-gardner-1
79,James Knapke*,Bowling Green State,MAC,13,280,483,58.0,3173,6.6,6.1,15,12,118.4,67,136,2.0,2,james-knapke-1
80,C.J. Brown*,Maryland,Big Ten,13,189,354,53.4,2288,6.5,5.9,13,10,114.2,161,539,3.3,8,cj-brown-1
81,Jameill Showers*,UTEP,CUSA,13,159,286,55.6,1858,6.5,6.4,12,6,119.8,93,312,3.4,4,jameill-showers-1
82,Reilly O'Toole*,Illinois,Big Ten,10,122,206,59.2,1344,6.5,5.7,10,8,122.3,95,263,2.8,1,reilly-otoole-1
83,Sefo Liufau,Colorado,Pac-12,12,325,498,65.3,3200,6.4,6.2,28,15,131.8,69,136,2.0,0,sefo-liufau-1
84,Tyler Rogers,New Mexico State,Sun Belt,12,268,436,61.5,2779,6.4,4.9,19,23,118.8,69,200,2.9,2,tyler-rogers-1
85,Maty Mauk*,Missouri,SEC,14,221,414,53.4,2648,6.4,6.2,25,13,120.8,108,373,3.5,2,maty-mauk-1
86,Andrew McNulty,North Texas,CUSA,10,110,202,54.5,1295,6.4,5.4,6,7,111.2,42,54,1.3,2,andrew-mcnulty-1
87,Pete Thomas,Louisiana-Monroe,Sun Belt,12,301,501,60.1,3181,6.3,6.4,14,6,120.2,110,6,0.1,3,pete-thomas-1
88,Tyrone Swoopes*,Texas,Big 12,12,224,384,58.3,2409,6.3,5.7,13,11,116.5,108,262,2.4,4,tyrone-swoopes-1
89,Brandon Bridge*,South Alabama,Sun Belt,11,160,307,52.1,1927,6.3,6.1,15,8,115.8,101,297,2.9,4,brandon-bridge-1
90,Cole Stoudt*,Clemson,ACC,13,191,302,63.2,1892,6.3,5.4,9,10,119.1,69,93,1.3,1,cole-stoudt-1
91,Greyson Lambert,Virginia,ACC,9,154,261,59.0,1632,6.3,5.1,10,11,115.7,35,-6,-0.2,2,greyson-lambert-1
92,Christian Hackenberg*,Penn State,Big Ten,13,270,484,55.8,2977,6.2,5.3,12,15,109.4,93,-94,-1.0,0,christian-hackenberg-1
93,Cody Fajardo*,Nevada,MWC,13,239,405,59.0,2498,6.2,5.8,18,11,120.1,177,1046,5.9,13,cody-fajardo-1
94,Colin Reardon,Kent State,MAC,11,228,400,57.0,2466,6.2,5.1,14,16,112.3,59,148,2.5,2,colin-reardon-1
95,Michael Brewer*,Virginia Tech,ACC,13,262,441,59.4,2692,6.1,5.4,18,15,117.4,80,-5,-0.1,2,michael-brewer-2
96,Brian Burrell*,Fresno State,MWC,14,252,432,58.3,2620,6.1,5.2,22,18,117.8,110,360,3.3,3,brian-burrell-1
97,Ikaika Woolsey,Hawaii,MWC,13,210,416,50.5,2538,6.1,5.3,13,13,105.8,110,203,1.8,1,ikaika-woolsey-1
98,P.J. Walker,Temple,American,12,203,381,53.3,2317,6.1,5.0,13,15,107.8,106,324,3.1,3,pj-walker-1
99,Alex McGough,Florida International,CUSA,12,138,274,50.4,1680,6.1,5.5,14,10,111.4,97,92,0.9,4,alex-mcgough-1
100,J.D. Sprague,Ohio,MAC,10,98,202,48.5,1236,6.1,5.3,3,5,99.9,65,264,4.1,3,jd-sprague-1
101,Anthony Boone*,Duke,ACC,13,255,453,56.3,2700,6.0,6.0,19,8,116.7,94,375,4.0,5,anthony-boone-1
102,Sam B. Richardson,Iowa State,Big 12,11,254,451,56.3,2669,5.9,5.8,18,9,115.2,125,421,3.4,3,sam-b-richardson-1
103,Tanner Lee,Tulane,American,10,185,336,55.1,1962,5.8,4.7,12,14,107.6,36,-125,-3.5,0,tanner-lee-1
104,Kyle Pohl,Akron,MAC,10,208,383,54.3,2189,5.7,5.2,9,8,105.9,46,18,0.4,1,kyle-pohl-1
105,Trevor Siemian,Northwestern,Big Ten,11,228,392,58.2,2214,5.6,4.7,7,11,105.9,68,-123,-1.8,5,trevor-siemian-1
106,John Wolford,Wake Forest,ACC,12,214,367,58.3,2037,5.6,4.5,12,14,108.1,104,-151,-1.5,0,john-wolford-1
107,Jeff Driskel*,Florida,SEC,9,114,212,53.8,1140,5.4,4.1,9,10,103.5,69,180,2.6,4,jeff-driskel-1
108,Austin Appleby,Purdue,Big Ten,10,144,272,52.9,1449,5.3,4.2,10,11,101.7,61,198,3.2,5,austin-appleby-1
